,Date,Open,Volume,price action_bearish,price action_bullish,Negativity,Neutrality,Positivity,Number of tweets
223,2020-11-19,164.0,187425900,0,0,0.14683076576594267,0.6089076879497081,0.2442615465480502,142
224,2020-11-20,165.996674,98735700,0,0,0.13883009810433636,0.6579845431778747,0.2031853603554356,114
225,2020-11-23,167.833328,150780900,0,1,0.14349815434592697,0.6393100218777399,0.21719182688922506,137
226,2020-11-24,180.133331,160945500,0,0,0.11505304257793156,0.658915910572981,0.22603104454323908,256
227,2020-11-25,183.353333,146790600,0,1,0.1365342387733627,0.5928599292717486,0.27060583361420704,167
228,2020-11-27,193.720001,112683300,0,0,0.1442594962147342,0.6362087601116614,0.21953174331023598,130
229,2020-11-30,200.736664,189009300,0,0,0.1664236866998027,0.6720115114808528,0.16156479309250243,117
230,2020-12-01,199.196671,120310500,0,0,0.13181831064178523,0.6747341929668128,0.19344749375793333,145
231,2020-12-02,185.479996,143327100,0,0,0.13819939354186828,0.6862728207521767,0.17552778348491732,139
232,2020-12-03,196.67334,127656000,0,0,0.1412971487932938,0.67921779263912,0.1794850631518697,111
233,2020-12-04,197.003326,88203900,0,0,0.1711560710595341,0.6807621132590681,0.14808181153008923,131
234,2020-12-07,201.639999,168929100,0,1,0.12998749032340434,0.6339506713879738,0.23606184144512635,159
235,2020-12-08,208.503326,192795000,0,0,0.11817325778473002,0.670377627805863,0.21144911730196575,216
236,2020-12-09,217.896667,213873600,0,0,0.16278937111350547,0.637573736409053,0.19963688958647582,174
237,2020-12-10,191.456665,201249600,0,1,0.15152544358192516,0.6644335041427739,0.18404105770136936,174
238,2020-12-11,205.003326,139425000,0,0,0.13376412768763501,0.7382945685861283,0.12794130491358385,123
239,2020-12-14,206.333328,156121800,0,0,0.12484112297236998,0.6607833434433251,0.21437553501636183,147
240,2020-12-15,214.426666,135214500,0,0,0.14305923951526278,0.6692170823073659,0.18772368710635545,124
241,2020-12-16,209.410004,126287400,0,0,0.13790599071444518,0.6722319513962526,0.18986205795378638,124
242,2020-12-17,209.396667,168810300,0,0,0.12791807946479314,0.678597971829668,0.19348395621900483,133
243,2020-12-18,222.96666,666378600,0,0,0.14371863735497015,0.6742318471568032,0.18204951989173834,218
244,2020-12-21,222.080002,174135900,0,0,0.13474338745712927,0.6241842774562486,0.24107233827202174,272
245,2020-12-22,216.0,155148000,0,0,0.15002830859085486,0.6624024127068626,0.18756927375564733,221
246,2020-12-23,210.733337,99519000,0,0,0.14555892292356828,0.6794026708197286,0.1750384087963734,226
247,2020-12-24,214.330002,68596800,0,0,0.12534157314322153,0.6422321997768109,0.232426228742164,146
248,2020-12-28,224.83667,96835800,0,0,0.13319063848097726,0.6769258690597839,0.18988349451118017,276
249,2020-12-29,220.333328,68732400,0,0,0.13432246005302118,0.7056774130227556,0.16000013104104194,223
250,2020-12-30,224.0,128538000,0,1,0.11974133937243052,0.6497158095872582,0.23054285376151185,263
251,2020-12-31,233.330002,148949700,0,0,0.1325915499869844,0.6241857605333887,0.24322268838916503,242
252,2021-01-04,239.820007,145914600,0,0,0.13135640584328515,0.6644745215926247,0.20416907803761705,250
